観測所番号,roman
14163,sapporo
31312,aomori
32402,akita
33431,morioka
34392,sendai
35426,yamagata
36126,fukushima
40201,mito
41277,utsunomiya
42251,maebashi
43241,saitama
44132,toukyou
45212,chiba
46106,yokohama
48156,nagano
49142,koufu
50331,shizuoka
51106,nagoya
52586,gifu
53061,yokkaichi
54232,niigata
55102,toyama
56227,kanazawa
57066,fukui
60216,ootsu
61286,kyouto
62078,oosaka
63518,koube
64036,nara
65042,wakayama
66408,okayama
67437,koushima
68132,matsue
69122,tottori
71106,tokushima
72086,takamatsu
73166,matsuyama
74181,kouchi
81286,yamaguchi
82182,fukuoka
83216,ooita
84496,nagasaki
85142,saga
86141,kumamoto
87376,miyazaki
88317,shikajishima
91197,naha
46046,sagamiharachuuou
50456,hamamatsu
62091,sakai
82056,hachiman
12442,asahikawa
23232,hakodate
31602,hachinohe
36476,kouriyama
36846,onahama
42286,uesatomi
43256,koshigaya
44112,hachiouji
45106,funabashi
51331,toyohashi
51226,okazaki
51116,toyoda
62051,toyonaka
62046,hirakata
62081,ikomayama
63477,nishinomiya
66446,kurashiki
67511,kure
67401,fukuyama
81428,shimonoseki
82306,kurume
84266,sasebo
94081,ishigakishima
92011,minamidaitou
88836,naze
84536,fukue
84072,genhara
74516,shimizu
74372,murotomisaki
68376,hamada
68022,saigou
65356,shiomisaki
44263,hachijoushima
44172,ooshima
50551,omaezaki
45147,choushi
56052,washima
54157,aikawa
33472,miyako
22327,urakawa
18273,nemuro
11016,wakkanai
44301,chichishima
44356,minamitorishima
50066,fujisan
